id,geometry_type,wkt,area_m2,area_km2,centroid_lon,centroid_lat,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,parts,holes,vertices,label,area_const,cbml,cobama,fecha_sinc,id_constru,numero_edi,numero_mej,numero_mez,numero_pis,numero_sem,numero_sot,Shape_Area,Shape_Leng,tipo_const
1,MultiPolygon,"MULTIPOLYGON (((-75.54619664672012 6.288239527343503, -75.54620032837586 6.288224603394482, -75.54621577087228 6.288228255764163, -75.54623931050261 6.288233827868897, -75.54625085157794 6.28819426487502, -75.5462807497513 6.288202842882325, -75.54625493305448 6.288307693180729, -75.54625330715321 6.288314294754417, -75.54621145112633 6.288304768757055, -75.54621628717679 6.288287358313175, -75.54618654710075 6.288280446705806, -75.54619520860143 6.288245354086763, -75.54619664672012 6.288239527343503)))",77,0.000077,-75.54622511600108,6.288255269827196,-75.5462807497513,6.28819426487502,-75.54618654710075,6.288314294754417,1,0,13,,229.2,01070250025,0107025,2026-06-20,01070250025_0000,0,0,0,3,0,0,76.3980809825,41.6210143426,N
2,MultiPolygon,"MULTIPOLYGON (((-75.54620949942621 6.288311821259625, -75.54621145112633 6.288304768757055, -75.54625330715321 6.288314294754417, -75.5462532088142 6.288314696657014, -75.54625212783462 6.288319085938375, -75.54625157582099 6.288321326292558, -75.54620949942621 6.288311821259625)))",4,0.000004,-75.5462385283626,6.288314332276507,-75.54625330715321,6.288304768757055,-75.54620949942621,6.288321326292558,1,0,7,,7.66,01070250025,0107025,2026-06-20,01070250025_0000,0,0,0,2,0,0,3.83221378992,11.1350952899,N
3,MultiPolygon,"MULTIPOLYGON (((-75.54625445027098 6.28813538366857, -75.54625868712289 6.288114975415966, -75.54629969249812 6.288125907830448, -75.54629856456407 6.288130489011044, -75.54629683499522 6.288137511499222, -75.54629597110554 6.28814102093076, -75.54629050067099 6.288163239792102, -75.54626184331666 6.288156007376395, -75.54625088884957 6.288153289678792, -75.54625445027098 6.28813538366857)))",20,0.000020,-75.54627860371046,6.288139758355921,-75.54629969249812,6.288114975415966,-75.54625088884957,6.288163239792102,1,0,10,,39.52,01070250025,0107025,2026-06-20,01070250025_0002,2,2,0,2,0,0,19.7602410148,17.7941856325,M
4,MultiPolygon,"MULTIPOLYGON (((-75.5462091856815 6.288188713303695, -75.54622417739691 6.288127975589925, -75.54625445027098 6.28813538366857, -75.54625088884957 6.288153289678792, -75.54626184331666 6.288156007376395, -75.54625085157794 6.28819426487502, -75.54623931050261 6.288233827868897, -75.54621577087228 6.288228255764163, -75.54621968308139 6.288210763028822, -75.54620483593219 6.288206347403897, -75.5462091856815 6.288188713303695)))",45,0.000045,-75.5462330997482,6.288183482855817,-75.54626184331666,6.288127975589925,-75.54620483593219,6.288233827868897,1,0,11,,89.9,01070250025,0107025,2026-06-20,01070250025_0000,0,0,0,2,0,0,44.953829,30.9821810926,N
5,MultiPolygon,"MULTIPOLYGON (((-75.54711672512717 6.300212059466686, -75.54713242109733 6.30014905704547, -75.54713567017322 6.300150866564466, -75.54712102702183 6.300209638957395, -75.54712016206211 6.30021311042752, -75.54711672512717 6.300212059466686)))",3,0.000003,-75.54712520109634,6.300186946492308,-75.54713567017322,6.30014905704547,-75.54711672512717,6.30021311042752,1,0,6,,2.84,01030510005,0103051,2026-06-20,01030510005_0000,0,0,0,1,0,0,2.83585775961,15.0864490314,N
6,MultiPolygon,"MULTIPOLYGON (((-75.54723186310392 6.300017017615811, -75.54726504066612 6.300005129305079, -75.54726436042856 6.300034608277312, -75.54725645950296 6.300034607994489, -75.54725580095524 6.300053716770072, -75.54729083187362 6.300054814112861, -75.54729019678699 6.300073360419714, -75.5472893746449 6.300097274410833, -75.54722925951062 6.300096576254812, -75.54722963370419 6.300085116696963, -75.54722975160733 6.300081502411044, -75.54723186310392 6.300017017615811)))",47,0.000047,-75.54725750661677,6.300057611297181,-75.54729083187362,6.300005129305079,-75.54722925951062,6.300097274410833,1,0,12,,46.97,01030510007,0103051,2026-06-20,01030510007_0000,0,0,0,1,0,0,46.9739611435,34.1869800244,N
7,MultiPolygon,"MULTIPOLYGON (((-75.54722863242488 6.300115836766819, -75.54722925951062 6.300096576254812, -75.5472893746449 6.300097274410833, -75.54728934104108 6.300098350460574, -75.54728866636219 6.300118226900122, -75.54728761666617 6.300155875365958, -75.54728719114996 6.300159038197494, -75.54726500150174 6.300156739861293, -75.54726666123966 6.300137080115446, -75.54722803929987 6.300133909118183, -75.54722863242488 6.300115836766819)))",35,0.000035,-75.5472659783841,6.300126890745153,-75.5472893746449,6.300096576254812,-75.54722803929987,6.300159038197494,1,0,11,,68.86,01030510007,0103051,2026-06-20,01030510007_0000,0,0,0,2,0,0,34.4295391286,26.5625721052,N
8,MultiPolygon,"MULTIPOLYGON (((-75.54721271193867 6.300151340102945, -75.54722228980428 6.300133909175582, -75.54722803929987 6.300133909118183, -75.54726666123966 6.300137080115446, -75.54726500150174 6.300156739861293, -75.54721271193867 6.300151340102945)))",11,0.000011,-75.54723894075684,6.30014259567469,-75.54726666123966,6.300133909118183,-75.54721271193867,6.300156739861293,1,0,6,,11.38,01030510007,0103051,2026-06-20,01030510007_0000,0,0,0,1,0,0,11.3781890956,15.1252035623,N
9,MultiPolygon,"MULTIPOLYGON (((-75.54734380382456 6.300009511913295, -75.54734407695065 6.300014932499843, -75.54729214458929 6.300016440173773, -75.54729233314798 6.300011010098951, -75.54734380382456 6.300009511913295)))",3,0.000003,-75.54731808962812,6.300012973671466,-75.54734407695065,6.300009511913295,-75.54729214458929,6.300016440173773,1,0,5,,3.43,01030510008,0103051,2026-06-20,01030510008_0000,0,0,0,1,0,0,3.43440429235,12.6499343546,N
10,MultiPolygon,"MULTIPOLYGON (((-75.54751524673108 6.299999497742252, -75.54751230446765 6.300005382472012, -75.54748200253087 6.300063465575844, -75.54743272189381 6.30004528426475, -75.54745545443457 6.300003663022209, -75.54746157902251 6.299991648281694, -75.54748902308872 6.300004892262616, -75.54749686606125 6.299990423522359, -75.54751524673108 6.299999497742252)))",41,0.000041,-75.5474806497788,6.300013032142967,-75.54751524673108,6.299990423522359,-75.54743272189381,6.300063465575844,1,0,9,,122.88,01030510014,0103051,2026-06-20,01030510014_0000,0,0,0,3,0,0,40.9639359198,27.9868804955,N
